group,removal_prob,wind_std,n_runs,successes,success_rate,energy_mean,energy_median,energy_stdev
htn,0.0,0.0,1000,1000,1.0,600.1204677900793,600.1204677900793,0.0
baseline,0.0,0.0,1000,962,0.962,7911.4114363525005,6153.367311532089,5613.249253236947
htn,0.1,0.0,1000,1000,1.0,565.8110579885671,576.1204677900793,42.76171235733625
baseline,0.1,0.0,1000,961,0.961,7604.491385125557,6006.865061679253,5575.0835616624945
htn,0.2,0.0,1000,1000,1.0,531.5804618987436,546.7040599250805,57.20566448691268
baseline,0.2,0.0,1000,976,0.976,7434.820500041343,5666.807431678453,5714.696232525831
htn,0.3,0.0,1000,1000,1.0,498.7828252938833,508.12046779007915,64.54570066318331
baseline,0.3,0.0,1000,986,0.986,7097.685240594739,5601.888905598102,5320.946185556491
htn,0.4,0.0,1000,1000,1.0,459.9386682493639,455.5587556396374,70.21119187595093
baseline,0.4,0.0,1000,992,0.992,6506.334290002756,4793.0064371844055,5100.131550618598
htn,0.5,0.0,1000,997,0.997,424.99162719823295,422.5280449438103,71.85425670350628
baseline,0.5,0.0,1000,993,0.993,6055.907423694663,4524.741567938644,4757.207787999942
htn,0.6,0.0,1000,980,0.98,389.31702622406993,384.5280449438103,70.91963661876746
baseline,0.6,0.0,1000,992,0.992,5658.522911500882,4200.556660244738,4466.036165861126
htn,0.7,0.0,1000,932,0.932,359.1066527799099,357.53909836580897,66.55866206582152
baseline,0.7,0.0,1000,998,0.998,5190.102420475955,3804.4654282493343,4054.098116295301
htn,0.8,0.0,1000,822,0.822,326.7536904972806,316.1760149812701,57.0028212607591
baseline,0.8,0.0,1000,999,0.999,4788.909147186804,3619.1649225701162,3595.98140852127
