group,removal_prob,wind_std,n_runs,successes,success_rate,energy_mean,energy_median,energy_stdev
htn,0.0,0.0,1000,1000,1.0,600.1204677900793,600.1204677900793,0.0
baseline,0.0,0.0,1000,964,0.964,8224.387919873727,6442.749395764133,6045.015020522491
htn,0.0,0.05,1000,1000,1.0,600.1277244237001,600.2691154417022,4.082083807048745
baseline,0.0,0.05,1000,964,0.964,8225.571715100004,6444.963528631529,6046.434212516419
htn,0.0,0.1,1000,1000,1.0,600.134981057321,600.4177630933252,8.164167614097503
baseline,0.0,0.1,1000,964,0.964,8226.755510326278,6450.2352012799365,6047.898179722965
htn,0.0,0.15,1000,1000,1.0,600.1422376909419,600.5664107449479,12.24625142114624
baseline,0.0,0.15,1000,964,0.964,8227.93930555255,6450.134083802819,6049.406889635089
htn,0.0,0.2,1000,1000,1.0,600.1494943245629,600.7150583965708,16.328335228194994
baseline,0.0,0.2,1000,964,0.964,8229.123100778823,6453.838466018585,6050.960308785162
htn,0.0,0.25,1000,1000,1.0,600.1624404481432,600.8637060481938,20.411008269329038
baseline,0.0,0.25,1000,964,0.964,8230.362569152072,6460.658784506028,6052.5941969709265
htn,0.0,0.3,1000,1000,1.0,600.2393139952368,601.0258637786842,24.467775727672375
baseline,0.0,0.3,1000,964,0.964,8232.340414029013,6467.855292204763,6054.740746709925
htn,0.0,0.4,1000,1000,1.0,601.2613634234631,602.6432254473277,32.34708747375955
baseline,0.0,0.4,1000,964,0.964,8247.298994286875,6480.980533192365,6066.89608408627
htn,0.0,0.5,1000,1000,1.0,604.6659989505571,606.0382749719995,39.72441525730607
baseline,0.0,0.5,1000,964,0.964,8293.555592564448,6518.481241153573,6101.90398749497
